_id,station_id,station_type,channel,startup,battery,rssi,temp,hum,wavg,wmax,wdir,rain,uvidx,light
6641e79a9c2a000b6cd0ef83,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7a49c2a000b6cd0ef87,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7ae9c2a000b6cd0ef8a,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6642388c9c2a000b6cd0ef8e,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238969c2a000b6cd0ef91,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238a09c2a000b6cd0ef94,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238aa9c2a000b6cd0ef98,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238b59c2a000b6cd0ef9c,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238bf9c2a000b6cd0efa0,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238c99c2a000b6cd0efa3,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238d39c2a000b6cd0efa6,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238dd9c2a000b6cd0efaa,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238e89c2a000b6cd0efae,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238f29c2a000b6cd0efb1,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
664238fc9c2a000b6cd0efb5,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
